category,intent,instruction,flags
ORDER,cancel_order,question about cancelling order {{Order Number}},B
ORDER,cancel_order,i have a question about cancelling oorder {{Order Number}},BQZ
ORDER,cancel_order,i need help cancelling puchase {{Order Number}},BLQZ
ORDER,cancel_order,I need to cancel purchase {{Order Number}},BL
ORDER,cancel_order,"I cannot afford this order, cancel purchase {{Order Number}}",BCELN
ORDER,cancel_order,can you help me cancel order {{Order Number}}?,BI
ORDER,cancel_order,"I can no longer afford order {{Order Number}}, cancel it",BCLN
ORDER,cancel_order,I am trying to cancel purchase {{Order Number}},BL
ORDER,cancel_order,I have got to cancel purchase {{Order Number}},BL
ORDER,cancel_order,i need help canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,i dont know what to do to cancel order {{Order Number}},BQ
ORDER,cancel_order,I have a problem with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,problem with canceling purchase {{Order Number}},BL
ORDER,cancel_order,can you help me canceling order {{Order Number}}?,BI
ORDER,cancel_order,help  me canceling purchase {{Order Number}},BLZ
ORDER,cancel_order,can you help me cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,what do I have to do to cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,"I bought the same item twice, cancel order {{Order Number}}",BCL
ORDER,cancel_order,need help with canceling order {{Order Number}},BQ
ORDER,cancel_order,i want assistance canceling order {{Order Number}},BQ
ORDER,cancel_order,I'm trying to cancel order {{Order Number}},BQ
ORDER,cancel_order,i have problems with canceling order {{Order Number}},BMQ
ORDER,cancel_order,assistance with cancelling pucrhase {{Order Number}},BLZ
ORDER,cancel_order,need help with canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,help cnceling order {{Order Number}},BZ
ORDER,cancel_order,i want assistance cancelling order {{Order Number}},BQ
ORDER,cancel_order,need assistance cancelling order {{Order Number}},BQ
ORDER,cancel_order,problem with cancelling order {{Order Number}},B
ORDER,cancel_order,assistnace cancelling order {{Order Number}},BZ
ORDER,cancel_order,have a problem with canceling order {{Order Number}},BQ
ORDER,cancel_order,i need help with canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,assistance with cancelling pucrhase {{Order Number}},BLZ
ORDER,cancel_order,want assistance to cancel order  {{Order Number}},BQZ
ORDER,cancel_order,i do not know how i can cancel purchase {{Order Number}},BELQ
ORDER,cancel_order,need assistance to cancel order {{Order Number}},BQ
ORDER,cancel_order,can you help me cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,I can no longer afford purchase {{Order Number}},BLN
ORDER,cancel_order,i need assistance canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,I would like to cancel purchase {{Order Number}},BLP
ORDER,cancel_order,i do not want these article i try to cancel order {{Order Number}},BCELNQZ
ORDER,cancel_order,i need help to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,I have got to cancel purchase {{Order Number}},BL
ORDER,cancel_order,problems with cancelling order {{Order Number}},BM
ORDER,cancel_order,I need help canceling purchase {{Order Number}},BL
ORDER,cancel_order,assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,could ya help me cancel order {{Order Number}},BIPQ
ORDER,cancel_order,could you help me cancelling order {{Order Number}} ?,BIPZ
ORDER,cancel_order,cance order {{Order Number}},BZ
ORDER,cancel_order,assistance cancelling purchase {{Order Number}},BL
ORDER,cancel_order,assistance with canceling purchase {{Order Number}},BL
ORDER,cancel_order,canceling order {{Order Number}},BK
ORDER,cancel_order,how to cancel order {{Order Number}},BIQ
ORDER,cancel_order,help me cancelling purchase {{Order Number}},BL
ORDER,cancel_order,have a question about cancelling order {{Order Number}},BQ
ORDER,cancel_order,I can't afford purchase {{Order Number}},BLN
ORDER,cancel_order,assistance with canceling purchase {{Order Number}},BL
ORDER,cancel_order,"I ordered some item, cancel purchase {{Order Number}}",BCL
ORDER,cancel_order,i need help cancelling order {{Order Number}},BQ
ORDER,cancel_order,"I can't afford order {{Order Number}}, help me cancelling it",BCLN
ORDER,cancel_order,I do not know how I can cancel purchase {{Order Number}},BEL
ORDER,cancel_order,I try to cancel purchase {{Order Number}},BL
ORDER,cancel_order,problem with cancelling order {{Order Number}},B
ORDER,cancel_order,"I cannot pay for the last purchase I have made, cancel it",BCELNV
ORDER,cancel_order,help me cancelling purchase {{Order Number}},BL
ORDER,cancel_order,could you help me cancel purchase {{Order Number}}?,BILP
ORDER,cancel_order,I want to cancle purchase {{Order Number}},BLZ
ORDER,cancel_order,help me to cancel my  last goddamn purchase,BLWZ
ORDER,cancel_order,I have a problem witrh cancelling purchase {{Order Number}},BLZ
ORDER,cancel_order,can  uhelp me canceling order {{Order Number}},BIQZ
ORDER,cancel_order,problems with canceling purchase {{Order Number}},BLM
ORDER,cancel_order,I need assistancde cancelling order {{Order Number}},BZ
ORDER,cancel_order,"I bought some item, cancel order {{Order Number}}",BCL
ORDER,cancel_order,need help with cancelling order {{Order Number}},BQ
ORDER,cancel_order,"I can't pay for this item, can I cancel order {{Order Number}}?",BCILN
ORDER,cancel_order,I need help cacneling order {{Order Number}},BZ
ORDER,cancel_order,where could I cancel purchase {{Order Number}}?,BILP
ORDER,cancel_order,i bought some damn item help to cancep order {{Order Number}},BCLQWZ
ORDER,cancel_order,want assistance to cancel order {{Order Number}},BQ
ORDER,cancel_order,"I have got to cancel purchase {{Order Number}}, help me",BCL
ORDER,cancel_order,whag do i need to do to cancel order {{Order Number}},BIQZ
ORDER,cancel_order,I want assistance canceling order {{Order Number}},B
ORDER,cancel_order,I can no longer afford purchase {{Order Number}},BLN
ORDER,cancel_order,I want assistance to cancel purchase {{Order Number}},BL
ORDER,cancel_order,cancelling order,BK
ORDER,cancel_order,i want help cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,what do I have to do to cancel order {{Order Number}}?,BI
ORDER,cancel_order,can you help me to cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,I need help cancelling order {{Order Number}},B
ORDER,cancel_order,I do not know how I can cancel purchase {{Order Number}},BEL
ORDER,cancel_order,i want help to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,how do i cancel order {{Order Number}},BIQ
ORDER,cancel_order,"I bought some articles, help me to cancel order {{Order Number}}",BCLM
ORDER,cancel_order,need assistance cancelling order {{Order Number}},BQ
ORDER,cancel_order,where to cancel purchase {{Order Number}},BILQ
ORDER,cancel_order,I want help canceling order {{Order Number}},B
ORDER,cancel_order,I want help cancellkng purchase {{Order Number}},BLZ
ORDER,cancel_order,I need help with cancelling order {{Order Number}},B
ORDER,cancel_order,I want assistance to cancel order {{Order Number}},B
ORDER,cancel_order,I want assistance to cancel order {{Order Number}},B
ORDER,cancel_order,need assistance cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,where can I cancel order {{Order Number}}?,BI
ORDER,cancel_order,have problems with canceling order {{Order Number}},BMQ
ORDER,cancel_order,where can I cancel order {{Order Number}}?,BI
ORDER,cancel_order,I can no longer pay for order {{Order Number}},BLN
